;ID;TITLE;DATE;PRICE;ADDRESS;CATEGORIES;DESCRIPTION;VIEWS;SPECS
0;3785327157;Samsung Galaxy A50, 4/64 ГБ;6 июля в 15:29;5000;Республика Дагестан, г.о. Хасавюрт;['Электроника', 'Телефоны', 'Мобильные телефоны', 'Samsung'];"Ассаламу алейкум, продаю свой Самсунг А50 в хорошем состоянии ничего не лагает. Полный комплект: зарядка,коробка,чехол.
Без лишних косяков. Камеры все работают
Реальному не большой торг💯
БАРТЕР РАССМОТРЮ‼‼";2344;[('Состояние', 'Хорошее'), ('Производитель', 'Samsung'), ('Модель', 'Galaxy A50'), ('Встроенная память', '64 ГБ'), ('Цвет', 'Синий'), ('Оперативная память', '4 ГБ')]
1;4011434045;Samsung Galaxy A71, 6/128 ГБ;16 июля в 13:35;3500;Республика Дагестан, Каспийск, мкр-н Афган-Городок, ул. Амет-Хана Султана, 81Б;['Электроника', 'Телефоны', 'Мобильные телефоны', 'Samsung'];На разбор !!!а так телефон📱 работает, Торг пишите на авито;225;[('Экран', 'Без дефектов'), ('Корпус', 'Щели, зазоры'), ('Не работают датчики', 'Сканер отпечатка'), ('Комплект', 'Коробка'), ('Состояние', 'Удовлетворительное'), ('Производитель', 'Samsung'), ('Модель', 'Galaxy A71'), ('Встроенная память', '128 ГБ'), ('Цвет', 'Серебристый'), ('Оперативная память', '6 ГБ')]
